# Size Threads Time
1000000 1 0.367717
1000000 2 0.194623
1000000 3 0.154432
1000000 4 0.142285
1000000 5 0.126041
1000000 6 0.103088
1000000 7 0.091576
1000000 8 0.084240
2000000 1 0.762411
2000000 2 0.433371
2000000 3 0.338126
2000000 4 0.269160
2000000 5 0.239822
2000000 6 0.213574
2000000 7 0.190416
2000000 8 0.185277
3000000 1 1.189845
3000000 2 0.646680
3000000 3 0.527272
3000000 4 0.415274
3000000 5 0.391722
3000000 6 0.331788
3000000 7 0.294231
3000000 8 0.277883
4000000 1 1.573603
4000000 2 0.929177
4000000 3 0.638517
4000000 4 0.575279
4000000 5 0.524645
4000000 6 0.447033
4000000 7 0.398406
4000000 8 0.377787
