# Size Threads Time
1000000 1 0.462550
1000000 2 0.245481
1000000 3 0.208717
1000000 4 0.183705
1000000 5 0.165266
1000000 6 0.145467
1000000 7 0.146104
1000000 8 0.118103
2000000 1 0.966156
2000000 2 0.570797
2000000 3 0.601315
2000000 4 0.748522
2000000 5 0.968357
2000000 6 0.871661
2000000 7 1.020456
2000000 8 1.025742
3000000 1 2.890867
3000000 2 1.574728
3000000 3 1.280701
3000000 4 1.141919
3000000 5 1.096639
3000000 6 1.181001
3000000 7 1.093685
3000000 8 1.194254
4000000 1 3.394628
4000000 2 1.668099
4000000 3 1.437376
4000000 4 1.485753
4000000 5 1.412423
4000000 6 1.329819
4000000 7 1.259892
4000000 8 1.484059
